      Time             Node0px             Node0py             Node0pz             Node1px             Node1py             Node1pz             Node2px             Node2py             Node2pz             Node3px             Node3py             Node3pz             Node4px             Node4py             Node4pz             Node5px             Node5py             Node5pz             Node6px             Node6py             Node6pz             Node7px             Node7py             Node7pz             Node8px             Node8py             Node8pz             Node9px             Node9py             Node9pz            Node10px            Node10py            Node10pz            Node11px            Node11py            Node11pz            Node12px            Node12py            Node12pz            Node13px            Node13py            Node13pz            Node14px            Node14py            Node14pz            Node15px            Node15py            Node15pz            Node16px            Node16py            Node16pz            Node17px            Node17py            Node17pz            Node18px            Node18py            Node18pz            Node19px            Node19py            Node19pz            Node20px            Node20py            Node20pz              Seg1Te              Seg2Te              Seg3Te              Seg4Te              Seg5Te              Seg6Te              Seg7Te              Seg8Te              Seg9Te             Seg10Te             Seg11Te             Seg12Te             Seg13Te             Seg14Te             Seg15Te             Seg16Te             Seg17Te             Seg18Te             Seg19Te             Seg20Te
    0.0000       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4066658e+01      -2.6913867e+01       1.7700000e+01      -5.1695257e+01      -2.5727853e+01       1.7700000e+01      -4.9323798e+01      -2.4541958e+01       1.7700000e+01      -4.6952280e+01      -2.3356182e+01       1.7700000e+01      -4.4580703e+01      -2.2170526e+01       1.7700000e+01      -4.2209067e+01      -2.0984989e+01       1.7700000e+01      -3.9837372e+01      -1.9799571e+01       1.7700000e+01      -3.7465619e+01      -1.8614273e+01       1.7700000e+01      -3.5093807e+01      -1.7429094e+01       1.7700000e+01      -3.2721937e+01      -1.6244034e+01       1.7700000e+01      -3.0350007e+01      -1.5059094e+01       1.7700000e+01      -2.7978019e+01      -1.3874272e+01       1.7700000e+01      -2.5605972e+01      -1.2689571e+01       1.7700000e+01      -2.3233867e+01      -1.1504988e+01       1.7700000e+01      -2.0861702e+01      -1.0320525e+01       1.7700000e+01      -1.8489479e+01      -9.1361812e+00       1.7700000e+01      -1.6117197e+01      -7.9519568e+00       1.7700000e+01      -1.3744857e+01      -6.7678518e+00       1.7700000e+01      -1.1372458e+01      -5.5838662e+00       1.7700000e+01      -9.0000000e+00      -4.4000000e+00       1.3203232e+05       1.3202901e+05       1.3202570e+05       1.3202239e+05       1.3201908e+05       1.3201577e+05       1.3201246e+05       1.3200916e+05       1.3200585e+05       1.3200254e+05       1.3199923e+05       1.3199592e+05       1.3199262e+05       1.3198931e+05       1.3198600e+05       1.3198270e+05       1.3197939e+05       1.3197609e+05       1.3197278e+05       1.3196948e+05
    0.0200       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4066660e+01      -2.6913868e+01       1.7700000e+01      -5.1695262e+01      -2.5727855e+01       1.7700000e+01      -4.9323804e+01      -2.4541961e+01       1.7700000e+01      -4.6952288e+01      -2.3356187e+01       1.7700000e+01      -4.4580713e+01      -2.2170531e+01       1.7700000e+01      -4.2209079e+01      -2.0984995e+01       1.7700000e+01      -3.9837387e+01      -1.9799578e+01       1.7700000e+01      -3.7465635e+01      -1.8614281e+01       1.7700000e+01      -3.5093824e+01      -1.7429102e+01       1.7700000e+01      -3.2721955e+01      -1.6244043e+01       1.7700000e+01      -3.0350027e+01      -1.5059103e+01       1.7700000e+01      -2.7978040e+01      -1.3874283e+01       1.7700000e+01      -2.5605994e+01      -1.2689581e+01       1.7700000e+01      -2.3233889e+01      -1.1504999e+01       1.7700000e+01      -2.0861726e+01      -1.0320537e+01       1.7700000e+01      -1.8489503e+01      -9.1361935e+00       1.7700000e+01      -1.6117222e+01      -7.9519712e+00       1.7700000e+01      -1.3744877e+01      -6.7678771e+00       1.7700000e+01      -1.1372466e+01      -5.5839165e+00       1.7700000e+01      -9.0000001e+00      -4.4000681e+00       1.3202198e+05       1.3201877e+05       1.3201565e+05       1.3201265e+05       1.3200977e+05       1.3200700e+05       1.3200433e+05       1.3200170e+05       1.3199910e+05       1.3199646e+05       1.3199376e+05       1.3199097e+05       1.3198808e+05       1.3198511e+05       1.3198205e+05       1.3197891e+05       1.3197573e+05       1.3197250e+05       1.3196923e+05       1.3196595e+05
    0.0400       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4066692e+01      -2.6913884e+01       1.7700000e+01      -5.1695326e+01      -2.5727887e+01       1.7700000e+01      -4.9323900e+01      -2.4542009e+01       1.7700000e+01      -4.6952414e+01      -2.3356249e+01       1.7700000e+01      -4.4580868e+01      -2.2170609e+01       1.7700000e+01      -4.2209262e+01      -2.0985087e+01       1.7700000e+01      -3.9837595e+01      -1.9799683e+01       1.7700000e+01      -3.7465868e+01      -1.8614397e+01       1.7700000e+01      -3.5094080e+01      -1.7429230e+01       1.7700000e+01      -3.2722230e+01      -1.6244181e+01       1.7700000e+01      -3.0350321e+01      -1.5059250e+01       1.7700000e+01      -2.7978351e+01      -1.3874438e+01       1.7700000e+01      -2.5606321e+01      -1.2689745e+01       1.7700000e+01      -2.3234231e+01      -1.1505170e+01       1.7700000e+01      -2.0862080e+01      -1.0320718e+01       1.7700000e+01      -1.8489865e+01      -9.1363950e+00       1.7700005e+01      -1.6117573e+01      -7.9522265e+00       1.7700030e+01      -1.3745159e+01      -6.7683034e+00       1.7700091e+01      -1.1372586e+01      -5.5847015e+00       1.7700135e+01      -9.0000004e+00      -4.4011251e+00       1.3187111e+05       1.3186914e+05       1.3186861e+05       1.3186968e+05       1.3187242e+05       1.3187674e+05       1.3188234e+05       1.3188872e+05       1.3189528e+05       1.3190143e+05       1.3190669e+05       1.3191074e+05       1.3191346e+05       1.3191486e+05       1.3191509e+05       1.3191433e+05       1.3191278e+05       1.3191063e+05       1.3190801e+05       1.3190503e+05
    0.0600       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4066744e+01      -2.6913909e+01       1.7700000e+01      -5.1695429e+01      -2.5727938e+01       1.7700000e+01      -4.9324055e+01      -2.4542085e+01       1.7700000e+01      -4.6952620e+01      -2.3356352e+01       1.7700000e+01      -4.4581126e+01      -2.2170737e+01       1.7700000e+01      -4.2209571e+01      -2.0985240e+01       1.7700000e+01      -3.9837955e+01      -1.9799862e+01       1.7700000e+01      -3.7466278e+01      -1.8614601e+01       1.7700000e+01      -3.5094539e+01      -1.7429459e+01       1.7700000e+01      -3.2722739e+01      -1.6244434e+01       1.7700000e+01      -3.0350878e+01      -1.5059528e+01       1.7700000e+01      -2.7978956e+01      -1.3874741e+01       1.7700000e+01      -2.5606971e+01      -1.2690076e+01       1.7700001e+01      -2.3234918e+01      -1.1505544e+01       1.7700009e+01      -2.0862782e+01      -1.0321178e+01       1.7700037e+01      -1.8490524e+01      -9.1370554e+00       1.7700101e+01      -1.6118103e+01      -7.9532592e+00       1.7700194e+01      -1.3745524e+01      -6.7697787e+00       1.7700324e+01      -1.1372766e+01      -5.5866601e+00       1.7700439e+01      -9.0000009e+00      -4.4035563e+00       1.3162960e+05       1.3162745e+05       1.3162672e+05       1.3162779e+05       1.3163100e+05       1.3163642e+05       1.3164379e+05       1.3165251e+05       1.3166181e+05       1.3167090e+05       1.3167912e+05       1.3168605e+05       1.3169148e+05       1.3169542e+05       1.3169800e+05       1.3169936e+05       1.3169966e+05       1.3169900e+05       1.3169743e+05       1.3169499e+05
    0.0800       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4066829e+01      -2.6913950e+01       1.7700000e+01      -5.1695598e+01      -2.5728020e+01       1.7700000e+01      -4.9324308e+01      -2.4542210e+01       1.7700000e+01      -4.6952959e+01      -2.3356518e+01       1.7700000e+01      -4.4581549e+01      -2.2170945e+01       1.7700000e+01      -4.2210079e+01      -2.0985491e+01       1.7700000e+01      -3.9838547e+01      -1.9800155e+01       1.7700000e+01      -3.7466954e+01      -1.8614936e+01       1.7700000e+01      -3.5095299e+01      -1.7429836e+01       1.7700000e+01      -3.2723582e+01      -1.6244854e+01       1.7700000e+01      -3.0351800e+01      -1.5059996e+01       1.7700003e+01      -2.7979947e+01      -1.3875276e+01       1.7700013e+01      -2.5608005e+01      -1.2690730e+01       1.7700044e+01      -2.3235938e+01      -1.1506431e+01       1.7700111e+01      -2.0863708e+01      -1.0322458e+01       1.7700211e+01      -1.8491312e+01      -9.1388153e+00       1.7700342e+01      -1.6118746e+01      -7.9555115e+00       1.7700515e+01      -1.3745974e+01      -6.7726215e+00       1.7700731e+01      -1.1372985e+01      -5.5901661e+00       1.7700929e+01      -9.0000016e+00      -4.4077027e+00       1.3123419e+05       1.3123173e+05       1.3123051e+05       1.3123115e+05       1.3123421e+05       1.3123994e+05       1.3124812e+05       1.3125813e+05       1.3126906e+05       1.3127995e+05       1.3129003e+05       1.3129878e+05       1.3130597e+05       1.3131158e+05       1.3131572e+05       1.3131854e+05       1.3132013e+05       1.3132053e+05       1.3131971e+05       1.3131764e+05
    0.1000       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4066953e+01      -2.6914010e+01       1.7700000e+01      -5.1695847e+01      -2.5728141e+01       1.7700000e+01      -4.9324681e+01      -2.4542391e+01       1.7700000e+01      -4.6953455e+01      -2.3356760e+01       1.7700000e+01      -4.4582168e+01      -2.2171248e+01       1.7700000e+01      -4.2210820e+01      -2.0985855e+01       1.7700000e+01      -3.9839411e+01      -1.9800580e+01       1.7700000e+01      -3.7467938e+01      -1.8615425e+01       1.7700001e+01      -3.5096399e+01      -1.7430395e+01       1.7700004e+01      -3.2724786e+01      -1.6245506e+01       1.7700017e+01      -3.0353078e+01      -1.5060799e+01       1.7700052e+01      -2.7981241e+01      -1.3876345e+01       1.7700121e+01      -2.5609240e+01      -1.2692214e+01       1.7700226e+01      -2.3237067e+01      -1.1508422e+01       1.7700360e+01      -2.0864726e+01      -1.0324965e+01       1.7700535e+01      -1.8492183e+01      -9.1419070e+00       1.7700751e+01      -1.6119426e+01      -7.9592783e+00       1.7701006e+01      -1.3746452e+01      -6.7770828e+00       1.7701307e+01      -1.1373229e+01      -5.5953892e+00       1.7701596e+01      -9.0000025e+00      -4.4137011e+00       1.3065507e+05       1.3065269e+05       1.3065173e+05       1.3065293e+05       1.3065697e+05       1.3066420e+05       1.3067442e+05       1.3068694e+05       1.3070075e+05       1.3071476e+05       1.3072808e+05       1.3074009e+05       1.3075048e+05       1.3075917e+05       1.3076622e+05       1.3077166e+05       1.3077551e+05       1.3077771e+05       1.3077813e+05       1.3077668e+05
    0.1200       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4067108e+01      -2.6914084e+01       1.7700000e+01      -5.1696156e+01      -2.5728288e+01       1.7700000e+01      -4.9325144e+01      -2.4542613e+01       1.7700000e+01      -4.6954072e+01      -2.3357058e+01       1.7700000e+01      -4.4582940e+01      -2.2171623e+01       1.7700000e+01      -4.2211745e+01      -2.0986310e+01       1.7700001e+01      -3.9840484e+01      -1.9801125e+01       1.7700006e+01      -3.7469147e+01      -1.8616087e+01       1.7700021e+01      -3.5097711e+01      -1.7431239e+01       1.7700060e+01      -3.2726144e+01      -1.6246647e+01       1.7700132e+01      -3.0354412e+01      -1.5062380e+01       1.7700241e+01      -2.7982506e+01      -1.3878455e+01       1.7700379e+01      -2.5610431e+01      -1.2694865e+01       1.7700554e+01      -2.3238162e+01      -1.1511658e+01       1.7700771e+01      -2.0865678e+01      -1.0328880e+01       1.7701024e+01      -1.8492984e+01      -9.1465203e+00       1.7701318e+01      -1.6120058e+01      -7.9646246e+00       1.7701655e+01      -1.3746891e+01      -6.7832115e+00       1.7702038e+01      -1.1373463e+01      -5.6023213e+00       1.7702417e+01      -9.0000036e+00      -4.4214965e+00       1.2993626e+05       1.2993341e+05       1.2993154e+05       1.2993148e+05       1.2993400e+05       1.2993954e+05       1.2994798e+05       1.2995872e+05       1.2997080e+05       1.2998321e+05       1.2999507e+05       1.3000582e+05       1.3001518e+05       1.3002308e+05       1.3002956e+05       1.3003463e+05       1.3003827e+05       1.3004034e+05       1.3004070e+05       1.3003917e+05
    0.1400       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4067296e+01      -2.6914172e+01       1.7700000e+01      -5.1696532e+01      -2.5728466e+01       1.7700000e+01      -4.9325707e+01      -2.4542883e+01       1.7700000e+01      -4.6954820e+01      -2.3357423e+01       1.7700002e+01      -4.4583867e+01      -2.2172096e+01       1.7700008e+01      -4.2212836e+01      -2.0986923e+01       1.7700026e+01      -3.9841704e+01      -1.9801946e+01       1.7700067e+01      -3.7470439e+01      -1.8617232e+01       1.7700143e+01      -3.5099009e+01      -1.7432843e+01       1.7700255e+01      -3.2727404e+01      -1.6248798e+01       1.7700396e+01      -3.0355628e+01      -1.5065089e+01       1.7700572e+01      -2.7983666e+01      -1.3881750e+01       1.7700788e+01      -2.5611491e+01      -1.2698830e+01       1.7701040e+01      -2.3239109e+01      -1.1516323e+01       1.7701328e+01      -2.0866510e+01      -1.0334249e+01       1.7701659e+01      -1.8493674e+01      -9.1526472e+00       1.7702028e+01      -1.6120601e+01      -7.9715190e+00       1.7702441e+01      -1.3747274e+01      -6.7909017e+00       1.7702902e+01      -1.1373674e+01      -5.6108320e+00       1.7703369e+01      -9.0000048e+00      -4.4309023e+00       1.2906337e+05       1.2906030e+05       1.2905797e+05       1.2905719e+05       1.2905874e+05       1.2906306e+05       1.2907012e+05       1.2907938e+05       1.2909000e+05       1.2910105e+05       1.2911174e+05       1.2912156e+05       1.2913022e+05       1.2913767e+05       1.2914389e+05       1.2914885e+05       1.2915246e+05       1.2915454e+05       1.2915490e+05       1.2915333e+05
    0.1600       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700000e+01      -5.4067511e+01      -2.6914275e+01       1.7700001e+01      -5.1696959e+01      -2.5728677e+01       1.7700003e+01      -4.9326340e+01      -2.4543216e+01       1.7700011e+01      -4.6955641e+01      -2.3357915e+01       1.7700031e+01      -4.4584840e+01      -2.2172818e+01       1.7700075e+01      -4.2213903e+01      -2.0987990e+01       1.7700154e+01      -3.9842802e+01      -1.9803488e+01       1.7700268e+01      -3.7471526e+01      -1.8619333e+01       1.7700413e+01      -3.5100079e+01      -1.7435513e+01       1.7700588e+01      -3.2728451e+01      -1.6252053e+01       1.7700803e+01      -3.0356617e+01      -1.5069000e+01       1.7701053e+01      -2.7984577e+01      -1.3886356e+01       1.7701336e+01      -2.5612331e+01      -1.2704120e+01       1.7701659e+01      -2.3239859e+01      -1.1522336e+01       1.7702017e+01      -2.0867159e+01      -1.0341006e+01       1.7702416e+01      -1.8494222e+01      -9.1601494e+00       1.7702857e+01      -1.6121033e+01      -7.9797991e+00       1.7703344e+01      -1.3747584e+01      -6.7999684e+00       1.7703883e+01      -1.1373851e+01      -5.6207116e+00       1.7704437e+01      -9.0000061e+00      -4.4416788e+00       1.2806233e+05       1.2805917e+05       1.2805662e+05       1.2805541e+05       1.2805624e+05       1.2805955e+05       1.2806531e+05       1.2807307e+05       1.2808210e+05       1.2809160e+05       1.2810088e+05       1.2810948e+05       1.2811715e+05       1.2812381e+05       1.2812941e+05       1.2813390e+05       1.2813715e+05       1.2813895e+05       1.2813908e+05       1.2813735e+05
    0.1800       1.7700000e+01      -5.6438000e+01      -2.8100000e+01       1.7700004e+01      -5.4067734e+01      -2.6914417e+01       1.7700013e+01      -5.1697388e+01      -2.5728994e+01       1.7700035e+01      -4.9326938e+01      -2.4543781e+01       1.7700083e+01      -4.6956352e+01      -2.3358842e+01       1.7700164e+01      -4.4585602e+01      -2.2174231e+01       1.7700281e+01      -4.2214677e+01      -2.0989968e+01       1.7700427e+01      -3.9843584e+01      -1.9806041e+01       1.7700604e+01      -3.7472314e+01      -1.8622466e+01       1.7700816e+01      -3.5100844e+01      -1.7439286e+01       1.7701064e+01      -3.2729172e+01      -1.6256509e+01       1.7701342e+01      -3.0357303e+01      -1.5074125e+01       1.7701656e+01      -2.7985219e+01      -1.3892166e+01       1.7702005e+01      -2.5612915e+01      -1.2710647e+01       1.7702389e+01      -2.3240390e+01      -1.1529569e+01       1.7702813e+01      -2.0867627e+01      -1.0348968e+01       1.7703278e+01      -1.8494621e+01      -9.1688538e+00       1.7703789e+01      -1.6121357e+01      -7.9892572e+00       1.7704351e+01      -1.3747822e+01      -6.8102073e+00       1.7704971e+01      -1.1373992e+01      -5.6317497e+00       1.7705614e+01      -9.0000076e+00      -4.4536046e+00       1.2696031e+05       1.2695699e+05       1.2695405e+05       1.2695212e+05       1.2695184e+05       1.2695357e+05       1.2695733e+05       1.2696275e+05       1.2696923e+05       1.2697611e+05       1.2698282e+05       1.2698899e+05       1.2699442e+05       1.2699905e+05       1.2700285e+05       1.2700578e+05       1.2700771e+05       1.2700846e+05       1.2700785e+05       1.2700568e+05
