      Time             Node0px             Node0py             Node0pz             Node1px             Node1py             Node1pz             Node2px             Node2py             Node2pz             Node3px             Node3py             Node3pz             Node4px             Node4py             Node4pz             Node5px             Node5py             Node5pz             Node6px             Node6py             Node6pz             Node7px             Node7py             Node7pz             Node8px             Node8py             Node8pz             Node9px             Node9py             Node9pz            Node10px            Node10py            Node10pz            Node11px            Node11py            Node11pz            Node12px            Node12py            Node12pz            Node13px            Node13py            Node13pz            Node14px            Node14py            Node14pz            Node15px            Node15py            Node15pz            Node16px            Node16py            Node16pz            Node17px            Node17py            Node17pz            Node18px            Node18py            Node18pz            Node19px            Node19py            Node19pz            Node20px            Node20py            Node20pz              Seg1Te              Seg2Te              Seg3Te              Seg4Te              Seg5Te              Seg6Te              Seg7Te              Seg8Te              Seg9Te             Seg10Te             Seg11Te             Seg12Te             Seg13Te             Seg14Te             Seg15Te             Seg16Te             Seg17Te             Seg18Te             Seg19Te             Seg20Te
    0.0000      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000000e+00      -5.4066658e+01      -2.6913867e+01      -8.0000000e+00      -5.1695257e+01      -2.5727853e+01      -8.0000000e+00      -4.9323798e+01      -2.4541958e+01      -8.0000000e+00      -4.6952280e+01      -2.3356182e+01      -8.0000000e+00      -4.4580703e+01      -2.2170526e+01      -8.0000000e+00      -4.2209067e+01      -2.0984989e+01      -8.0000000e+00      -3.9837372e+01      -1.9799571e+01      -8.0000000e+00      -3.7465619e+01      -1.8614273e+01      -8.0000000e+00      -3.5093807e+01      -1.7429094e+01      -8.0000000e+00      -3.2721937e+01      -1.6244034e+01      -8.0000000e+00      -3.0350007e+01      -1.5059094e+01      -8.0000000e+00      -2.7978019e+01      -1.3874272e+01      -8.0000000e+00      -2.5605972e+01      -1.2689571e+01      -8.0000000e+00      -2.3233867e+01      -1.1504988e+01      -8.0000000e+00      -2.0861702e+01      -1.0320525e+01      -8.0000000e+00      -1.8489479e+01      -9.1361812e+00      -8.0000000e+00      -1.6117197e+01      -7.9519568e+00      -8.0000000e+00      -1.3744857e+01      -6.7678518e+00      -8.0000000e+00      -1.1372458e+01      -5.5838662e+00      -8.0000000e+00      -9.0000000e+00      -4.4000000e+00       1.3203232e+05       1.3202901e+05       1.3202570e+05       1.3202239e+05       1.3201908e+05       1.3201577e+05       1.3201246e+05       1.3200916e+05       1.3200585e+05       1.3200254e+05       1.3199923e+05       1.3199592e+05       1.3199262e+05       1.3198931e+05       1.3198600e+05       1.3198270e+05       1.3197939e+05       1.3197609e+05       1.3197278e+05       1.3196948e+05
    0.0200      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000000e+00      -5.4066660e+01      -2.6913868e+01      -8.0000000e+00      -5.1695262e+01      -2.5727855e+01      -8.0000000e+00      -4.9323804e+01      -2.4541961e+01      -8.0000000e+00      -4.6952288e+01      -2.3356187e+01      -8.0000000e+00      -4.4580713e+01      -2.2170531e+01      -8.0000000e+00      -4.2209079e+01      -2.0984995e+01      -8.0000000e+00      -3.9837387e+01      -1.9799578e+01      -8.0000000e+00      -3.7465635e+01      -1.8614281e+01      -8.0000000e+00      -3.5093825e+01      -1.7429102e+01      -8.0000000e+00      -3.2721955e+01      -1.6244043e+01      -8.0000000e+00      -3.0350027e+01      -1.5059103e+01      -8.0000000e+00      -2.7978040e+01      -1.3874283e+01      -8.0000000e+00      -2.5605994e+01      -1.2689581e+01      -8.0000000e+00      -2.3233889e+01      -1.1504999e+01      -8.0000000e+00      -2.0861726e+01      -1.0320537e+01      -8.0000000e+00      -1.8489503e+01      -9.1361935e+00      -8.0000000e+00      -1.6117222e+01      -7.9519713e+00      -8.0000000e+00      -1.3744877e+01      -6.7678772e+00      -7.9999999e+00      -1.1372466e+01      -5.5839167e+00      -7.9999998e+00      -9.0000001e+00      -4.4000683e+00       1.3202195e+05       1.3201874e+05       1.3201562e+05       1.3201262e+05       1.3200974e+05       1.3200698e+05       1.3200430e+05       1.3200168e+05       1.3199908e+05       1.3199644e+05       1.3199374e+05       1.3199095e+05       1.3198807e+05       1.3198509e+05       1.3198203e+05       1.3197890e+05       1.3197571e+05       1.3197248e+05       1.3196922e+05       1.3196594e+05
    0.0400      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000000e+00      -5.4066683e+01      -2.6913879e+01      -8.0000000e+00      -5.1695306e+01      -2.5727877e+01      -8.0000000e+00      -4.9323871e+01      -2.4541994e+01      -8.0000000e+00      -4.6952376e+01      -2.3356230e+01      -8.0000000e+00      -4.4580821e+01      -2.2170585e+01      -8.0000000e+00      -4.2209207e+01      -2.0985059e+01      -8.0000000e+00      -3.9837533e+01      -1.9799651e+01      -8.0000000e+00      -3.7465798e+01      -1.8614362e+01      -8.0000000e+00      -3.5094003e+01      -1.7429192e+01      -8.0000000e+00      -3.2722149e+01      -1.6244140e+01      -8.0000000e+00      -3.0350234e+01      -1.5059207e+01      -8.0000000e+00      -2.7978259e+01      -1.3874392e+01      -8.0000000e+00      -2.5606225e+01      -1.2689697e+01      -8.0000000e+00      -2.3234132e+01      -1.1505121e+01      -8.0000001e+00      -2.0861977e+01      -1.0320667e+01      -8.0000014e+00      -1.8489759e+01      -9.1363413e+00      -8.0000175e+00      -1.6117468e+01      -7.9521631e+00      -8.0001132e+00      -1.3745075e+01      -6.7681901e+00      -8.0003320e+00      -1.1372553e+01      -5.5844774e+00      -8.0004795e+00      -9.0000006e+00      -4.4008273e+00       1.3191679e+05       1.3191442e+05       1.3191305e+05       1.3191278e+05       1.3191363e+05       1.3191554e+05       1.3191830e+05       1.3192155e+05       1.3192491e+05       1.3192797e+05       1.3193042e+05       1.3193206e+05       1.3193281e+05       1.3193268e+05       1.3193176e+05       1.3193019e+05       1.3192809e+05       1.3192558e+05       1.3192276e+05       1.3191968e+05
    0.0600      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000000e+00      -5.4066729e+01      -2.6913902e+01      -8.0000000e+00      -5.1695398e+01      -2.5727922e+01      -8.0000000e+00      -4.9324008e+01      -2.4542062e+01      -8.0000000e+00      -4.6952558e+01      -2.3356321e+01      -8.0000000e+00      -4.4581049e+01      -2.2170698e+01      -8.0000000e+00      -4.2209478e+01      -2.0985194e+01      -8.0000000e+00      -3.9837847e+01      -1.9799808e+01      -8.0000000e+00      -3.7466155e+01      -1.8614540e+01      -8.0000000e+00      -3.5094402e+01      -1.7429390e+01      -8.0000000e+00      -3.2722587e+01      -1.6244358e+01      -8.0000000e+00      -3.0350712e+01      -1.5059445e+01      -8.0000000e+00      -2.7978775e+01      -1.3874651e+01      -8.0000006e+00      -2.5606776e+01      -1.2689978e+01      -8.0000051e+00      -2.3234711e+01      -1.1505438e+01      -8.0000324e+00      -2.0862568e+01      -1.0321051e+01      -8.0001354e+00      -1.8490323e+01      -9.1368708e+00      -8.0003565e+00      -1.6117943e+01      -7.9529597e+00      -8.0006293e+00      -1.3745414e+01      -6.7693482e+00      -8.0009561e+00      -1.1372712e+01      -5.5860849e+00      -8.0012612e+00      -9.0000013e+00      -4.4028395e+00       1.3170217e+05       1.3170007e+05       1.3169939e+05       1.3170044e+05       1.3170345e+05       1.3170844e+05       1.3171512e+05       1.3172294e+05       1.3173119e+05       1.3173913e+05       1.3174619e+05       1.3175196e+05       1.3175628e+05       1.3175918e+05       1.3176078e+05       1.3176126e+05       1.3176079e+05       1.3175951e+05       1.3175752e+05       1.3175485e+05
    0.0800      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000000e+00      -5.4066804e+01      -2.6913938e+01      -8.0000000e+00      -5.1695549e+01      -2.5727996e+01      -8.0000000e+00      -4.9324234e+01      -2.4542173e+01      -8.0000000e+00      -4.6952860e+01      -2.3356470e+01      -8.0000000e+00      -4.4581425e+01      -2.2170884e+01      -8.0000000e+00      -4.2209930e+01      -2.0985417e+01      -8.0000000e+00      -3.9838374e+01      -1.9800069e+01      -8.0000000e+00      -3.7466756e+01      -1.8614838e+01      -8.0000000e+00      -3.5095076e+01      -1.7429725e+01      -8.0000002e+00      -3.2723334e+01      -1.6244731e+01      -8.0000016e+00      -3.0351527e+01      -1.5059860e+01      -8.0000101e+00      -2.7979652e+01      -1.3875123e+01      -8.0000471e+00      -2.5607695e+01      -1.2690546e+01      -8.0001596e+00      -2.3235631e+01      -1.1506180e+01      -8.0003842e+00      -2.0863430e+01      -1.0322086e+01      -8.0006753e+00      -1.8491076e+01      -9.1382994e+00      -8.0009978e+00      -1.6118552e+01      -7.9548501e+00      -8.0014128e+00      -1.3745840e+01      -6.7717800e+00      -8.0018948e+00      -1.1372920e+01      -5.5891259e+00      -8.0023464e+00      -9.0000024e+00      -4.4064688e+00       1.3134964e+05       1.3134734e+05       1.3134640e+05       1.3134735e+05       1.3135069e+05       1.3135660e+05       1.3136484e+05       1.3137477e+05       1.3138553e+05       1.3139620e+05       1.3140603e+05       1.3141450e+05       1.3142140e+05       1.3142671e+05       1.3143055e+05       1.3143306e+05       1.3143436e+05       1.3143450e+05       1.3143350e+05       1.3143134e+05
    0.1000      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000000e+00      -5.4066914e+01      -2.6913991e+01      -8.0000000e+00      -5.1695769e+01      -2.5728103e+01      -8.0000000e+00      -4.9324564e+01      -2.4542334e+01      -8.0000000e+00      -4.6953299e+01      -2.3356684e+01      -8.0000000e+00      -4.4581974e+01      -2.2171153e+01      -8.0000000e+00      -4.2210589e+01      -2.0985741e+01      -8.0000001e+00      -3.9839141e+01      -1.9800447e+01      -8.0000005e+00      -3.7467631e+01      -1.8615273e+01      -8.0000033e+00      -3.5096055e+01      -1.7430223e+01      -8.0000161e+00      -3.2724408e+01      -1.6245310e+01      -8.0000621e+00      -3.0352675e+01      -1.5060562e+01      -8.0001844e+00      -2.7980832e+01      -1.3876029e+01      -8.0004140e+00      -2.5608849e+01      -1.2691772e+01      -8.0007163e+00      -2.3236708e+01      -1.1507827e+01      -8.0010468e+00      -2.0864398e+01      -1.0324217e+01      -8.0014542e+00      -1.8491900e+01      -9.1409819e+00      -8.0019442e+00      -1.6119202e+01      -7.9581478e+00      -8.0024860e+00      -1.3746292e+01      -6.7757365e+00      -8.0031230e+00      -1.1373149e+01      -5.5937932e+00      -8.0037339e+00      -9.0000037e+00      -4.4118561e+00       1.3083677e+05       1.3083426e+05       1.3083301e+05       1.3083371e+05       1.3083703e+05       1.3084328e+05       1.3085229e+05       1.3086340e+05       1.3087568e+05       1.3088812e+05       1.3089988e+05       1.3091038e+05       1.3091936e+05       1.3092676e+05       1.3093264e+05       1.3093706e+05       1.3094006e+05       1.3094160e+05       1.3094157e+05       1.3093990e+05
    0.1200      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000000e+00      -5.4067055e+01      -2.6914059e+01      -8.0000000e+00      -5.1696051e+01      -2.5728238e+01      -8.0000000e+00      -4.9324988e+01      -2.4542538e+01      -8.0000000e+00      -4.6953864e+01      -2.3356957e+01      -8.0000002e+00      -4.4582680e+01      -2.2171497e+01      -8.0000011e+00      -4.2211433e+01      -2.0986158e+01      -8.0000055e+00      -3.9840122e+01      -1.9800945e+01      -8.0000228e+00      -3.7468737e+01      -1.8615873e+01      -8.0000775e+00      -3.5097264e+01      -1.7430972e+01      -8.0002093e+00      -3.2725677e+01      -1.6246292e+01      -8.0004448e+00      -3.0353949e+01      -1.5061889e+01      -8.0007549e+00      -2.7982061e+01      -1.3877802e+01      -8.0010946e+00      -2.5610003e+01      -1.2694050e+01      -8.0014955e+00      -2.3237759e+01      -1.1510665e+01      -8.0019877e+00      -2.0865317e+01      -1.0327677e+01      -8.0025277e+00      -1.8492669e+01      -9.1450984e+00      -8.0031465e+00      -1.6119801e+01      -7.9629585e+00      -8.0038508e+00      -1.3746708e+01      -6.7812700e+00      -8.0046401e+00      -1.1373370e+01      -5.6000738e+00      -8.0054265e+00      -9.0000053e+00      -4.4189311e+00       1.3017933e+05       1.3017648e+05       1.3017459e+05       1.3017442e+05       1.3017671e+05       1.3018187e+05       1.3018981e+05       1.3019993e+05       1.3021136e+05       1.3022312e+05       1.3023439e+05       1.3024463e+05       1.3025356e+05       1.3026112e+05       1.3026732e+05       1.3027217e+05       1.3027563e+05       1.3027758e+05       1.3027786e+05       1.3027632e+05
    0.1400      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000000e+00      -5.4067226e+01      -2.6914139e+01      -8.0000001e+00      -5.1696392e+01      -2.5728400e+01      -8.0000004e+00      -4.9325497e+01      -2.4542782e+01      -8.0000018e+00      -4.6954541e+01      -2.3357288e+01      -8.0000082e+00      -4.4583520e+01      -2.2171924e+01      -8.0000303e+00      -4.2212425e+01      -2.0986706e+01      -8.0000933e+00      -3.9841240e+01      -1.9801665e+01      -8.0002341e+00      -3.7469940e+01      -1.8616850e+01      -8.0004754e+00      -3.5098496e+01      -1.7432316e+01      -8.0007918e+00      -3.2726891e+01      -1.6248101e+01      -8.0011392e+00      -3.0355117e+01      -1.5064220e+01      -8.0015369e+00      -2.7983160e+01      -1.3880699e+01      -8.0020244e+00      -2.5611008e+01      -1.2697567e+01      -8.0025670e+00      -2.3238653e+01      -1.1514835e+01      -8.0031675e+00      -2.0866089e+01      -1.0332523e+01      -8.0038620e+00      -1.8493306e+01      -9.1506472e+00      -8.0046256e+00      -1.6120297e+01      -7.9692219e+00      -8.0054875e+00      -1.3747054e+01      -6.7882669e+00      -8.0064516e+00      -1.1373561e+01      -5.6078151e+00      -8.0074237e+00      -9.0000072e+00      -4.4274863e+00       1.2938866e+05       1.2938553e+05       1.2938305e+05       1.2938197e+05       1.2938304e+05       1.2938668e+05       1.2939286e+05       1.2940110e+05       1.2941062e+05       1.2942057e+05       1.2943022e+05       1.2943910e+05       1.2944695e+05       1.2945369e+05       1.2945931e+05       1.2946378e+05       1.2946701e+05       1.2946881e+05       1.2946898e+05       1.2946734e+05
    0.1600      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000006e+00      -5.4067420e+01      -2.6914232e+01      -8.0000029e+00      -5.1696779e+01      -2.5728590e+01      -8.0000113e+00      -4.9326071e+01      -2.4543081e+01      -8.0000384e+00      -4.6955288e+01      -2.3357724e+01      -8.0001092e+00      -4.4584413e+01      -2.2172550e+01      -8.0002583e+00      -4.2213422e+01      -2.0987608e+01      -8.0005052e+00      -3.9842287e+01      -1.9802952e+01      -8.0008266e+00      -3.7470991e+01      -1.8618615e+01      -8.0011804e+00      -3.5099525e+01      -1.7434614e+01      -8.0015765e+00      -3.2727880e+01      -1.6250967e+01      -8.0020567e+00      -3.0356043e+01      -1.5067700e+01      -8.0026000e+00      -2.7984010e+01      -1.3884824e+01      -8.0031878e+00      -2.5611774e+01      -1.2702350e+01      -8.0038637e+00      -2.3239328e+01      -1.1520296e+01      -8.0046133e+00      -2.0866667e+01      -1.0338669e+01      -8.0054411e+00      -1.8493784e+01      -9.1574882e+00      -8.0063729e+00      -1.6120671e+01      -7.9767679e+00      -8.0073993e+00      -1.3747320e+01      -6.7965244e+00      -8.0085494e+00      -1.1373714e+01      -5.6167946e+00      -8.0097211e+00      -9.0000092e+00      -4.4372642e+00       1.2848368e+05       1.2848041e+05       1.2847759e+05       1.2847591e+05       1.2847603e+05       1.2847834e+05       1.2848284e+05       1.2848916e+05       1.2849664e+05       1.2850458e+05       1.2851236e+05       1.2851957e+05       1.2852601e+05       1.2853157e+05       1.2853624e+05       1.2853995e+05       1.2854257e+05       1.2854390e+05       1.2854373e+05       1.2854189e+05
    0.1800      -8.0000000e+00      -5.6438000e+01      -2.8100000e+01      -8.0000139e+00      -5.4067623e+01      -2.6914358e+01      -8.0000465e+00      -5.1697172e+01      -2.5728866e+01      -8.0001248e+00      -4.9326627e+01      -2.4543563e+01      -8.0002816e+00      -4.6955964e+01      -2.3358497e+01      -8.0005337e+00      -4.4585156e+01      -2.2173721e+01      -8.0008592e+00      -4.2214188e+01      -2.0989266e+01      -8.0012179e+00      -3.9843051e+01      -1.9805148e+01      -8.0016132e+00      -3.7471738e+01      -1.8621378e+01      -8.0020853e+00      -3.5100239e+01      -1.7437980e+01      -8.0026259e+00      -3.2728547e+01      -1.6254966e+01      -8.0032055e+00      -3.0356660e+01      -1.5072338e+01      -8.0038596e+00      -2.7984571e+01      -1.3890113e+01      -8.0045955e+00      -2.5612277e+01      -1.2708297e+01      -8.0053943e+00      -2.3239774e+01      -1.1526901e+01      -8.0062918e+00      -2.0867052e+01      -1.0345941e+01      -8.0072799e+00      -1.8494107e+01      -9.1654272e+00      -8.0083731e+00      -1.6120929e+01      -7.9853825e+00      -8.0095855e+00      -1.3747509e+01      -6.8058246e+00      -8.0109264e+00      -1.1373828e+01      -5.6267916e+00      -8.0123108e+00      -9.0000114e+00      -4.4480337e+00       1.2748672e+05       1.2748337e+05       1.2748034e+05       1.2747818e+05       1.2747747e+05       1.2747854e+05       1.2748142e+05       1.2748580e+05       1.2749114e+05       1.2749689e+05       1.2750253e+05       1.2750774e+05       1.2751234e+05       1.2751627e+05       1.2751950e+05       1.2752195e+05       1.2752351e+05       1.2752400e+05       1.2752323e+05       1.2752103e+05
